N orig opt
1 0.000002 0.000001
1001 0.000035 0.000004
2001 0.000117 0.000008
3001 0.000278 0.000012
4001 0.000430 0.000014
5001 0.000609 0.000018
6001 0.001069 0.000021
7001 0.001361 0.000023
8001 0.004844 0.000065
9001 0.004422 0.000038
10001 0.002316 0.000030
11001 0.002493 0.000033
12001 0.003066 0.000039
13001 0.004224 0.000040
14001 0.003949 0.000042
15001 0.004461 0.000044
16001 0.005010 0.000048
17001 0.005731 0.000050
18001 0.006035 0.000050
19001 0.006485 0.000050
20001 0.007053 0.000052
21001 0.007815 0.000055
22001 0.008412 0.000058
23001 0.009256 0.000060
24001 0.010618 0.000063
25001 0.011041 0.000066
26001 0.012095 0.000078
27001 0.012713 0.000071
28001 0.013721 0.000073
29001 0.014586 0.000076
30001 0.015539 0.000078
31001 0.017307 0.000081
32001 0.018201 0.000084
33001 0.021101 0.000086
34001 0.024885 0.000088
35001 0.028794 0.000091
36001 0.033049 0.000094
37001 0.036447 0.000097
38001 0.038365 0.000099
39001 0.040302 0.000117
40001 0.042536 0.000106
41001 0.044698 0.000107
42001 0.047630 0.000110
43001 0.050010 0.000113
44001 0.051579 0.000115
45001 0.053482 0.000118
46001 0.056225 0.000128
47001 0.058572 0.000125
48001 0.061077 0.000126
49001 0.063550 0.000137
50001 0.066344 0.000130
51001 0.070127 0.000149
52001 0.072182 0.000136
53001 0.074472 0.000139
54001 0.077215 0.000141
55001 0.080314 0.000143
56001 0.082885 0.000146
57001 0.086864 0.000149
58001 0.089895 0.000179
59001 0.092971 0.000154
60001 0.095088 0.000156
61001 0.097932 0.000159
62001 0.102238 0.000181
63001 0.106120 0.000164
64001 0.108034 0.000167
65001 0.111611 0.000170
66001 0.115007 0.000172
67001 0.120603 0.000175
68001 0.122286 0.000218
69001 0.125681 0.000180
70001 0.129438 0.000182
71001 0.135713 0.000185
72001 0.136953 0.000188
73001 0.140832 0.000190
74001 0.146186 0.000193
75001 0.150014 0.000195
76001 0.152664 0.000198
77001 0.156409 0.000212
78001 0.161816 0.000203
79001 0.164212 0.000206
80001 0.168892 0.000209
81001 0.174271 0.000223
82001 0.177096 0.000213
83001 0.186870 0.000216
84001 0.190854 0.000219
85001 0.190660 0.000221
86001 0.196296 0.000224
87001 0.210589 0.000227
88001 0.204518 0.000230
89001 0.210112 0.000231
90001 0.224749 0.000234
91001 0.219763 0.000237
92001 0.222604 0.000239
93001 0.228314 0.000243
94001 0.233177 0.000247
95001 0.238331 0.000267
96001 0.242858 0.000252
97001 0.248624 0.000252
98001 0.253279 0.000255
99001 0.260612 0.000294
